"CountryCode" "ID" "CountryName" "GDP"
"USA" 1 "United States" 39
"CHN" 102 "China" 177
"JPN" 113 "Japan" 142
"DEU" 124 "Germany" 99
"FRA" 135 "France" 65
"GBR" 146 "United Kingdom" 62
"BRA" 157 "Brazil" 60
"RUS" 168 "Russian Federation" 57
"ITA" 179 "Italy" 56
"IND" 2 "India" 15
"CAN" 13 "Canada" 13
"AUS" 24 "Australia" 10
"ESP" 35 "Spain" 8
"MEX" 46 "Mexico" 5
"KOR" 57 "Korea, Rep." 3
"IDN" 68 "Indonesia" 181
"TUR" 79 "Turkey" 175
"NLD" 89 "Netherlands" 173
"SAU" 100 "Saudi Arabia" 169
"CHE" 103 "Switzerland" 160
"SWE" 104 "Sweden" 147
"IRN" 105 "Iran, Islamic Rep." 146
"NOR" 106 "Norway" 138
"POL" 107 "Poland" 136
"BEL" 108 "Belgium" 135
"ARG" 109 "Argentina" 133
"AUT" 110 "Austria" 117
"ZAF" 111 "South Africa" 116
"VEN" 112 "Venezuela, RB" 115
"COL" 114 "Colombia" 113
"THA" 115 "Thailand" 112
"ARE" 116 "United Arab Emirates" 108
"DNK" 117 "Denmark" 106
"MYS" 118 "Malaysia" 104
"SGP" 119 "Singapore" 94
"CHL" 120 "Chile" 92
"HKG" 121 "Hong Kong SAR, China" 91
"EGY" 122 "Egypt, Arab Rep." 89
"NGA" 123 "Nigeria" 88
"ISR" 125 "Israel" 87
"PHL" 126 "Philippines" 86
"GRC" 127 "Greece" 83
"FIN" 128 "Finland" 82
"PAK" 129 "Pakistan" 77
"PRT" 130 "Portugal" 74
"IRL" 131 "Ireland" 73
"IRQ" 132 "Iraq" 72
"DZA" 133 "Algeria" 71
"PER" 134 "Peru" 70
"KAZ" 136 "Kazakhstan" 69
"CZE" 137 "Czech Republic" 55
"ROM" 138 "Romania" 54
"UKR" 139 "Ukraine" 48
"QAT" 140 "Qatar" 46
"NZL" 141 "New Zealand" 42
"KWT" 142 "Kuwait" 41
"VNM" 143 "Vietnam" 38
"HUN" 144 "Hungary" 27
"BGD" 145 "Bangladesh" 24
"AGO" 147 "Angola" 23
"PRI" 148 "Puerto Rico" 22
"MAR" 149 "Morocco" 189
"SVK" 150 "Slovak Republic" 187
"ECU" 151 "Ecuador" 180
"SYR" 152 "Syrian Arab Republic" 171
"OMN" 153 "Oman" 164
"CUB" 154 "Cuba" 162
"AZE" 155 "Azerbaijan" 161
"BLR" 156 "Belarus" 159
"LKA" 158 "Sri Lanka" 152
"HRV" 159 "Croatia" 151
"DOM" 160 "Dominican Republic" 150
"SDN" 161 "Sudan" 149
"LUX" 162 "Luxembourg" 148
"UZB" 163 "Uzbekistan" 145
"BGR" 164 "Bulgaria" 144
"GTM" 165 "Guatemala" 143
"URY" 166 "Uruguay" 137
"TUN" 167 "Tunisia" 131
"SVN" 169 "Slovenia" 130
"CRI" 170 "Costa Rica" 129
"MAC" 171 "Macao SAR, China" 128
"LBN" 172 "Lebanon" 127
"LTU" 173 "Lithuania" 126
"ETH" 174 "Ethiopia" 125
"GHA" 175 "Ghana" 124
"KEN" 176 "Kenya" 123
"SRB" 177 "Serbia" 114
"PAN" 178 "Panama" 111
"YEM" 180 "Yemen, Rep." 110
"TKM" 181 "Turkmenistan" 109
"JOR" 182 "Jordan" 105
