"CountryCode" "Income.Group" "Short.Name"
"ABW" "High income: nonOECD" "Aruba"
"ADO" "High income: nonOECD" "Andorra"
"AFG" "Low income" "Afghanistan"
"AGO" "Lower middle income" "Angola"
"ALB" "Upper middle income" "Albania"
"ARE" "High income: nonOECD" "United Arab Emirates"
"ARG" "Upper middle income" "Argentina"
"ARM" "Lower middle income" "Armenia"
"ASM" "Upper middle income" "American Samoa"
"ATG" "Upper middle income" "Antigua and Barbuda"
"AUS" "High income: OECD" "Australia"
"AUT" "High income: OECD" "Austria"
"AZE" "Upper middle income" "Azerbaijan"
"BDI" "Low income" "Burundi"
"BEL" "High income: OECD" "Belgium"
"BEN" "Low income" "Benin"
"BFA" "Low income" "Burkina Faso"
"BGD" "Low income" "Bangladesh"
"BGR" "Upper middle income" "Bulgaria"
"BHR" "High income: nonOECD" "Bahrain"
"BHS" "High income: nonOECD" "The Bahamas"
"BIH" "Upper middle income" "Bosnia and Herzegovina"
"BLR" "Upper middle income" "Belarus"
"BLZ" "Lower middle income" "Belize"
"BMU" "High income: nonOECD" "Bermuda"
"BOL" "Lower middle income" "Bolivia"
"BRA" "Upper middle income" "Brazil"
"BRB" "High income: nonOECD" "Barbados"
"BRN" "High income: nonOECD" "Brunei"
"BTN" "Lower middle income" "Bhutan"
"BWA" "Upper middle income" "Botswana"
"CAF" "Low income" "Central African Republic"
"CAN" "High income: OECD" "Canada"
"CHE" "High income: OECD" "Switzerland"
"CHI" "High income: nonOECD" "Channel Islands"
"CHL" "Upper middle income" "Chile"
"CHN" "Lower middle income" "China"
"CIV" "Lower middle income" "Côte d'Ivoire"
"CMR" "Lower middle income" "Cameroon"
"COG" "Lower middle income" "Congo"
"COL" "Upper middle income" "Colombia"
"COM" "Low income" "Comoros"
"CPV" "Lower middle income" "Cape Verde"
"CRI" "Upper middle income" "Costa Rica"
"CUB" "Upper middle income" "Cuba"
"CYM" "High income: nonOECD" "Cayman Islands"
"CYP" "High income: nonOECD" "Cyprus"
"CZE" "High income: OECD" "Czech Republic"
"DEU" "High income: OECD" "Germany"
"DJI" "Lower middle income" "Djibouti"
"DMA" "Upper middle income" "Dominica"
"DNK" "High income: OECD" "Denmark"
"DOM" "Upper middle income" "Dominican Republic"
"DZA" "Upper middle income" "Algeria"
"EAP" "" "East Asia & Pacific (developing only)"
"EAS" "" "East Asia & Pacific (all income levels)"
"ECA" "" "Europe & Central Asia (developing only)"
"ECS" "" "Europe & Central Asia (all income levels)"
"ECU" "Lower middle income" "Ecuador"
"EGY" "Lower middle income" "Egypt"
"EMU" "" "Euro area"
"ERI" "Low income" "Eritrea"
"ESP" "High income: OECD" "Spain"
"EST" "High income: nonOECD" "Estonia"
"ETH" "Low income" "Ethiopia"
"FIN" "High income: OECD" "Finland"
"FJI" "Upper middle income" "Fiji"
"FRA" "High income: OECD" "France"
"FRO" "High income: nonOECD" "Faeroe Islands"
"FSM" "Lower middle income" "Micronesia"
"GAB" "Upper middle income" "Gabon"
"GBR" "High income: OECD" "United Kingdom"
"GEO" "Lower middle income" "Georgia"
"GHA" "Low income" "Ghana"
"GIN" "Low income" "Guinea"
"GMB" "Low income" "The Gambia"
"GNB" "Low income" "Guinea-Bissau"
"GNQ" "High income: nonOECD" "Equatorial Guinea"
"GRC" "High income: OECD" "Greece"
"GRD" "Upper middle income" "Grenada"
"GRL" "High income: nonOECD" "Greenland"
"GTM" "Lower middle income" "Guatemala"
"GUM" "High income: nonOECD" "Guam"
"GUY" "Lower middle income" "Guyana"
"HIC" "" "High income"
"HKG" "High income: nonOECD" "Hong Kong SAR, China"
"HND" "Lower middle income" "Honduras"
"HPC" "" "Heavily indebted poor countries (HIPC)"
"HRV" "High income: nonOECD" "Croatia"
"HTI" "Low income" "Haiti"
"HUN" "High income: OECD" "Hungary"
"IDN" "Lower middle income" "Indonesia"
"IMY" "High income: nonOECD" "Isle of Man"
"IND" "Lower middle income" "India"
"IRL" "High income: OECD" "Ireland"
"IRN" "Upper middle income" "Iran"
"IRQ" "Lower middle income" "Iraq"
"ISL" "High income: OECD" "Iceland"
"ISR" "High income: OECD" "Israel"
"ITA" "High income: OECD" "Italy"
"JAM" "Upper middle income" "Jamaica"
"JOR" "Lower middle income" "Jordan"
"JPN" "High income: OECD" "Japan"
"KAZ" "Upper middle income" "Kazakhstan"
"KEN" "Low income" "Kenya"
"KGZ" "Low income" "Kyrgyz Republic"
"KHM" "Low income" "Cambodia"
"KIR" "Lower middle income" "Kiribati"
"KNA" "Upper middle income" "St. Kitts and Nevis"
"KOR" "High income: OECD" "Korea"
"KSV" "Lower middle income" "Kosovo"
"KWT" "High income: nonOECD" "Kuwait"
"LAC" "" "Latin America & Caribbean (developing only)"
"LAO" "Low income" "Lao PDR"
"LBN" "Upper middle income" "Lebanon"
"LBR" "Low income" "Liberia"
"LBY" "Upper middle income" "Libya"
"LCA" "Upper middle income" "St. Lucia"
"LCN" "" "Latin America & Caribbean (all income levels)"
"LDC" "" "Least developed countries: UN classification"
"LIC" "" "Low income"
"LIE" "High income: nonOECD" "Liechtenstein"
"LKA" "Lower middle income" "Sri Lanka"
"LMC" "" "Lower middle income"
"LMY" "" "Low & middle income"
"LSO" "Lower middle income" "Lesotho"
"LTU" "Upper middle income" "Lithuania"
"LUX" "High income: OECD" "Luxembourg"
"LVA" "High income: nonOECD" "Latvia"
"MAC" "High income: nonOECD" "Macao SAR, China"
"MAR" "Lower middle income" "Morocco"
"MCO" "High income: nonOECD" "Monaco"
"MDA" "Lower middle income" "Moldova"
"MDG" "Low income" "Madagascar"
"MDV" "Lower middle income" "Maldives"
"MEA" "" "Middle East & North Africa (all income levels)"
"MEX" "Upper middle income" "Mexico"
"MHL" "Lower middle income" "Marshall Islands"
"MIC" "" "Middle income"
"MKD" "Upper middle income" "Macedonia"
"MLI" "Low income" "Mali"
"MLT" "High income: nonOECD" "Malta"
"MMR" "Low income" "Myanmar"
"MNA" "" "Middle East & North Africa (developing only)"
"MNE" "Upper middle income" "Montenegro"
"MNG" "Lower middle income" "Mongolia"
"MNP" "High income: nonOECD" "Northern Mariana Islands"
"MOZ" "Low income" "Mozambique"
"MRT" "Low income" "Mauritania"
"MUS" "Upper middle income" "Mauritius"
"MWI" "Low income" "Malawi"
"MYS" "Upper middle income" "Malaysia"
"NAC" "" "North America"
"NAM" "Upper middle income" "Namibia"
"NCL" "High income: nonOECD" "New Caledonia"
"NER" "Low income" "Niger"
"NGA" "Lower middle income" "Nigeria"
"NIC" "Lower middle income" "Nicaragua"
"NLD" "High income: OECD" "Netherlands"
"NOC" "" "High income: nonOECD"
"NOR" "High income: OECD" "Norway"
"NPL" "Low income" "Nepal"
"NZL" "High income: OECD" "New Zealand"
"OEC" "" "High income: OECD"
"OMN" "High income: nonOECD" "Oman"
"PAK" "Lower middle income" "Pakistan"
"PAN" "Upper middle income" "Panama"
"PER" "Upper middle income" "Peru"
"PHL" "Lower middle income" "Philippines"
"PLW" "Upper middle income" "Palau"
"PNG" "Lower middle income" "Papua New Guinea"
"POL" "High income: OECD" "Poland"
"PRI" "High income: nonOECD" "Puerto Rico"
"PRK" "Low income" "Dem. Rep. Korea"
"PRT" "High income: OECD" "Portugal"
"PRY" "Lower middle income" "Paraguay"
"PYF" "High income: nonOECD" "French Polynesia"
"QAT" "High income: nonOECD" "Qatar"
"ROM" "Upper middle income" "Romania"
"RUS" "Upper middle income" "Russia"
"RWA" "Low income" "Rwanda"
"SAS" "" "South Asia"
"SAU" "High income: nonOECD" "Saudi Arabia"
"SDN" "Lower middle income" "Sudan"
"SEN" "Lower middle income" "Senegal"
"SGP" "High income: nonOECD" "Singapore"
"SLB" "Low income" "Solomon Islands"
"SLE" "Low income" "Sierra Leone"
"SLV" "Lower middle income" "El Salvador"
"SMR" "High income: nonOECD" "San Marino"
"SOM" "Low income" "Somalia"
"SRB" "Upper middle income" "Serbia"
"SSA" "" "Sub-Saharan Africa (developing only)"
"SSF" "" "Sub-Saharan Africa (all income levels)"
"STP" "Lower middle income" "São Tomé and Principe"
"SUR" "Upper middle income" "Suriname"
"SVK" "High income: OECD" "Slovak Republic"
"SVN" "High income: OECD" "Slovenia"
"SWE" "High income: OECD" "Sweden"
"SWZ" "Lower middle income" "Swaziland"
"SYC" "Upper middle income" "Seychelles"
"SYR" "Lower middle income" "Syrian Arab Republic"
"TCA" "High income: nonOECD" "Turks and Caicos Islands"
"TCD" "Low income" "Chad"
"TGO" "Low income" "Togo"
"THA" "Lower middle income" "Thailand"
"TJK" "Low income" "Tajikistan"
"TKM" "Lower middle income" "Turkmenistan"
"TMP" "Lower middle income" "Timor-Leste"
"TON" "Lower middle income" "Tonga"
"TTO" "High income: nonOECD" "Trinidad and Tobago"
"TUN" "Lower middle income" "Tunisia"
"TUR" "Upper middle income" "Turkey"
