"CountryCode" "CountryName" "GDP" "Income.Group"
"ABW" "Aruba" 2584 "High income: nonOECD"
"AFG" "Afghanistan" 20497 "Low income"
"AGO" "Angola" 114147 "Lower middle income"
"ALB" "Albania" 12648 "Upper middle income"
"ARE" "United Arab Emirates" 348595 "High income: nonOECD"
"ARG" "Argentina" 475502 "Upper middle income"
"ARM" "Armenia" 9951 "Lower middle income"
"ATG" "Antigua and Barbuda" 1134 "Upper middle income"
"AUS" "Australia" 1532408 "High income: OECD"
"AUT" "Austria" 394708 "High income: OECD"
"AZE" "Azerbaijan" 66605 "Upper middle income"
"BDI" "Burundi" 2472 "Low income"
"BEL" "Belgium" 483262 "High income: OECD"
"BEN" "Benin" 7557 "Low income"
"BFA" "Burkina Faso" 10441 "Low income"
"BGD" "Bangladesh" 116355 "Low income"
"BGR" "Bulgaria" 50972 "Upper middle income"
"BHR" "Bahrain" 29044 "High income: nonOECD"
"BHS" "Bahamas, The" 8149 "High income: nonOECD"
"BIH" "Bosnia and Herzegovina" 17466 "Upper middle income"
"BLR" "Belarus" 63267 "Upper middle income"
"BLZ" "Belize" 1493 "Lower middle income"
"BMU" "Bermuda" 5474 "High income: nonOECD"
"BOL" "Bolivia" 27035 "Lower middle income"
"BRA" "Brazil" 2252664 "Upper middle income"
"BRB" "Barbados" 4225 "High income: nonOECD"
"BRN" "Brunei Darussalam" 16954 "High income: nonOECD"
"BTN" "Bhutan" 1780 "Lower middle income"
"BWA" "Botswana" 14504 "Upper middle income"
"CAF" "Central African Republic" 2184 "Low income"
"CAN" "Canada" 1821424 "High income: OECD"
"CHE" "Switzerland" 631173 "High income: OECD"
"CHL" "Chile" 269869 "Upper middle income"
"CHN" "China" 8227103 "Lower middle income"
"CIV" "C�te d'Ivoire" 24680 "Lower middle income"
"CMR" "Cameroon" 25322 "Lower middle income"
"COG" "Congo, Rep." 13678 "Lower middle income"
"COL" "Colombia" 369606 "Upper middle income"
"COM" "Comoros" 596 "Low income"
"CPV" "Cape Verde" 1827 "Lower middle income"
"CRI" "Costa Rica" 45104 "Upper middle income"
"CUB" "Cuba" 68234 "Upper middle income"
"CYP" "Cyprus" 22767 "High income: nonOECD"
"CZE" "Czech Republic" 196446 "High income: OECD"
"DEU" "Germany" 3428131 "High income: OECD"
"DMA" "Dominica" 480 "Upper middle income"
"DNK" "Denmark" 314887 "High income: OECD"
"DOM" "Dominican Republic" 59047 "Upper middle income"
"DZA" "Algeria" 205789 "Upper middle income"
